Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価
28044135,尼崎駅（阪神）,268,九州 熱中屋 阪神尼崎 LIVE,居酒屋、もつ鍋、餃子,兵庫県尼崎市神田北通2-12-27 西原店舗　１F,79,-,-,3000,3999,"3,500",2015/8/19,2015/8/19,7,3,https://tabelog.com/hyogo/A2803/A280304/28044135/,居酒屋・バル,居酒屋,もつ鍋,餃子,3.03
28038040,尼崎駅（阪神）,168,くいもの屋わん 阪神尼崎駅前店,居酒屋、和食（その他）、魚介料理・海鮮料理,兵庫県尼崎市神田中通2-27-47 阪神ONOビル 2F,107,-,-,3000,3999,"3,500",2013/6/22,2013/6/22,9,5,https://tabelog.com/hyogo/A2803/A280304/28038040/,居酒屋・バル,居酒屋,和食（その他）,魚介料理・海鮮料理,3.01
28051324,尼崎駅（阪神）,171,尼崎 居酒屋 完全個室 轟,居酒屋、焼鳥、魚介料理・海鮮料理,兵庫県尼崎市神田中通2-27-47 阪神ONOビル 3F,80,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28051324/,居酒屋・バル,居酒屋,焼鳥,魚介料理・海鮮料理,3.03
28007058,尼崎駅（阪神）,429,大はま,居酒屋、割烹・小料理、ふぐ,兵庫県尼崎市昭和通4-124 尼崎スカイハイツ 1F,28,-,-,3000,3999,"3,500",1973/3/20,1973/3/20,49,8,https://tabelog.com/hyogo/A2803/A280304/28007058/,居酒屋・バル,居酒屋,割烹・小料理,ふぐ,3.28
28003736,尼崎駅（阪神）,225,ごん兵衛 尼崎店,居酒屋、魚介料理・海鮮料理、懐石・会席料理,兵庫県尼崎市神田中通り2-18,300,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28003736/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,懐石・会席料理,3.35
28008155,尼崎駅（阪神）,308,あ・うん 尼崎,居酒屋、創作料理、洋食,兵庫県尼崎市昭和南通4-30 尼崎セントラルホテル1Ｆ,60,-,999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28008155/,居酒屋・バル,居酒屋,創作料理,洋食,3.19
28036710,尼崎駅（阪神）,250,うし松,焼肉、ホルモン、居酒屋,兵庫県尼崎市神田北通2-12-5,68,-,-,3000,3999,"3,500",2013/1/19,2013/1/19,9,10,https://tabelog.com/hyogo/A2803/A280304/28036710/,焼肉・ホルモン,焼肉,ホルモン,居酒屋,3.07
28002911,尼崎駅（阪神）,375,双葉寿司 尼崎本店,寿司、懐石・会席料理、しゃぶしゃぶ,兵庫県尼崎市神田北通3-61,152,3000,3999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28002911/,和食,寿司,懐石・会席料理,しゃぶしゃぶ,3.29
28023769,尼崎駅（阪神）,222,はじめ,居酒屋、懐石・会席料理、鍋（その他）,兵庫県尼崎市御園町35,50,-,999,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28023769/,居酒屋・バル,居酒屋,懐石・会席料理,鍋（その他）,3.25
28001206,尼崎駅（阪神）,495,グリル一平,洋食、ハンバーグ、オムライス,兵庫県尼崎市東難波町5-15-14,38,1000,1999,2000,2999,"2,500",1974年,1974/1/1,48,10,https://tabelog.com/hyogo/A2803/A280304/28001206/,洋食,洋食,ハンバーグ,オムライス,3.51
28062432,尼崎駅（阪神）,344,鮨・酒・肴 杉玉 阪神尼崎,寿司、居酒屋、魚介料理・海鮮料理,兵庫県尼崎市神田中通3-30,99,-,999,2000,2999,"2,500",2022/2/2,2022/2/2,0,9,https://tabelog.com/hyogo/A2803/A280304/28062432/,和食,寿司,居酒屋,魚介料理・海鮮料理,3.19
28048377,尼崎駅（阪神）,255,焼肉 とくみや,焼肉、ホルモン、韓国料理,兵庫県尼崎市神田北通2-1-21,42,-,-,3000,3999,"3,500",2017/3/1,2017/3/1,5,8,https://tabelog.com/hyogo/A2803/A280304/28048377/,焼肉・ホルモン,焼肉,ホルモン,韓国料理,3.05
28063507,尼崎駅（阪神）,433,無限∞けむり,居酒屋、ダイニングバー、魚介料理・海鮮料理,兵庫県尼崎市神田中通3-35,65,2000,2999,2000,2999,"2,500",2022/4/23,2022/4/23,0,7,https://tabelog.com/hyogo/A2803/A280304/28063507/,居酒屋・バル,居酒屋,ダイニングバー,魚介料理・海鮮料理,3.03
28058464,尼崎駅（阪神）,314,創作炭火 ビストロジャパン 阪神尼崎店,居酒屋、ステーキ、寿司,兵庫県尼崎市神田中通3-58-2,140,1000,1999,3000,3999,"3,500",2020/9/14,2020/9/14,2,2,https://tabelog.com/hyogo/A2803/A280304/28058464/,居酒屋・バル,居酒屋,ステーキ,寿司,3.08
28062804,尼崎駅（阪神）,344,0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 阪神尼崎店,ホルモン、焼肉、居酒屋,兵庫県尼崎市神田中通3-30 神田ビル 2F,95,1000,1999,2000,2999,"2,500",2022/2/22,2022/2/22,0,9,https://tabelog.com/hyogo/A2803/A280304/28062804/,焼肉・ホルモン,ホルモン,焼肉,居酒屋,3.05
28044826,尼崎駅（阪神）,140,尼崎イタリアンVin Vin BAL,イタリアン、居酒屋、カフェ,兵庫県尼崎市神田北通1-2 1F,42,1000,1999,3000,3999,"3,500",2015/11/1,2015/11/1,7,0,https://tabelog.com/hyogo/A2803/A280304/28044826/,洋食,イタリアン,居酒屋,カフェ,3.36
28061835,尼崎駅（阪神）,254,タイ料理セップイーサン 阪神尼崎店,タイ料理、タイカレー、アジア・エスニック料理（その他）,兵庫県尼崎市神田中通2-27,31,-,999,-,999,999,2021/10/19,2021/10/19,1,1,https://tabelog.com/hyogo/A2803/A280304/28061835/,多国籍料理,タイ料理,タイカレー,アジア・エスニック料理（その他）,3.05
28061854,尼崎駅（阪神）,262,寿寿,お好み焼き、居酒屋、魚介料理・海鮮料理,兵庫県尼崎市御園町29,24,-,-,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28061854/,居酒屋・バル,お好み焼き,居酒屋,魚介料理・海鮮料理,3.07
28047744,尼崎駅（阪神）,198,あまがさき ポッサムチプ,焼肉、ステーキ、居酒屋,兵庫県尼崎市神田北通1-7-1 阪神尼崎駅前第29ビル 9F,62,1000,1999,6000,7999,"7,000",2016/11/29,2016/11/29,6,0,https://tabelog.com/hyogo/A2803/A280304/28047744/,焼肉・ホルモン,焼肉,ステーキ,居酒屋,3.23
28037637,尼崎駅（阪神）,101,屋台居酒屋 大阪 満マル 尼崎店,居酒屋,兵庫県尼崎市神田中通1-2-1 AMASTAAMASEN 1F,90,1000,1999,2000,2999,"2,500",2013/4/18,2013/4/18,9,7,https://tabelog.com/hyogo/A2803/A280304/28037637/,居酒屋・バル,居酒屋,,,3.11
28002028,尼崎駅（阪神）,169,かき金,魚介料理・海鮮料理,兵庫県尼崎市神田北通1-6-3,50,-,-,5000,5999,"5,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28002028/,和食,魚介料理・海鮮料理,,,3.53
28008604,尼崎駅（阪神）,460,ロビー・ラウンジ ザ・ラウンジ,喫茶店、ケーキ、ハンバーガー,兵庫県尼崎市昭和通2-7-1 都ホテルニューアルカイック,64,2000,2999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28008604/,その他,喫茶店,ケーキ,ハンバーガー,3.22
28052457,尼崎駅（阪神）,780,栄屋商店,デリカテッセン、ホルモン、豚料理,兵庫県尼崎市玄番北之町5-5,,-,999,-,-,,2018/7/1,2018/7/1,4,4,https://tabelog.com/hyogo/A2803/A280304/28052457/,その他,デリカテッセン,ホルモン,豚料理,3.27
28033956,尼崎駅（阪神）,454,手打ち蕎麦 いしはら,そば、和食（その他）、居酒屋,兵庫県尼崎市神田中通り3-80 ダイシンマンシヨン 1F,14,1000,1999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28033956/,和食,そば,和食（その他）,居酒屋,3.57
28042432,尼崎駅（阪神）,318,みつぼ,居酒屋,兵庫県尼崎市神田中通り3-30 カドシンビル 1F,,2000,2999,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28042432/,居酒屋・バル,居酒屋,,,3.56
28040526,尼崎駅（阪神）,564,かごの屋 尼崎昭和通店,和食（その他）、しゃぶしゃぶ、バイキング,兵庫県尼崎市昭和通2-12-5,124,1000,1999,2000,2999,"2,500",2014/5/10,2014/5/10,8,6,https://tabelog.com/hyogo/A2803/A280304/28040526/,和食,和食（その他）,しゃぶしゃぶ,バイキング,3.05
28026744,尼崎駅（阪神）,647,らーめん明日香,ラーメン、中華料理,兵庫県尼崎市昭和通1-9-40,10,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28026744/,ラーメン,ラーメン,,,3.19
28058771,尼崎駅（阪神）,258,焼肉ライク 尼崎店,焼肉、ホルモン、定食・食堂,兵庫県尼崎市神田中通2-27-8,,-,999,1000,1999,"1,500",2020/10/27,2020/10/27,2,1,https://tabelog.com/hyogo/A2803/A280304/28058771/,焼肉・ホルモン,焼肉,ホルモン,定食・食堂,3.09
28037337,尼崎駅（阪神）,395,コメダ珈琲店 阪神尼崎店,コーヒー専門店,兵庫県尼崎市神田北通3-30-2,94,-,999,-,-,,2013/4/24,2013/4/24,9,7,https://tabelog.com/hyogo/A2803/A280304/28037337/,その他,コーヒー専門店,,,3.08
28003501,尼崎駅（阪神）,449,四川,四川料理、中華料理,兵庫県尼崎市昭和通2-7-1 都ホテル尼崎 B1F,62,3000,3999,6000,7999,"7,000",,,,,https://tabelog.com/hyogo/A2803/A280304/28003501/,多国籍料理,四川料理,,,3.42
28002595,尼崎駅（阪神）,233,和食鍋処 すし半 尼崎本店,ファミレス、寿司、しゃぶしゃぶ,兵庫県尼崎市神田北通2-20,262,1000,1999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28002595/,その他,ファミレス,寿司,しゃぶしゃぶ,3.02
28006993,尼崎駅（阪神）,795,寿々屋,お好み焼き・たこ焼き（その他）,兵庫県尼崎市神田北通5-7-5,18,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28006993/,テイクアウト,お好み焼き・たこ焼き（その他）,,,3.17
28041208,尼崎駅（阪神）,243,堂島グリル,カレーライス、洋食,兵庫県尼崎市神田中通2-27-11,21,1000,1999,-,999,999,2014/7/10,2014/7/10,8,4,https://tabelog.com/hyogo/A2803/A280304/28041208/,多国籍料理,カレーライス,,,3.29
28026334,尼崎駅（阪神）,234,手打ちうどん　こんぴらさん,うどん、そば、天ぷら,兵庫県尼崎市神田中通2-27-13,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280304/28026334/,和食,うどん,そば,天ぷら,3.5
28045294,尼崎駅（阪神）,229,三豊麺 尼崎店,つけ麺、ラーメン,兵庫県尼崎市神田中通2-27,19,-,999,-,999,999,2015/12/25,2015/12/25,6,11,https://tabelog.com/hyogo/A2803/A280304/28045294/,ラーメン,つけ麺,,,3.03
28032266,尼崎駅（阪神）,667,純喫茶 蜜,喫茶店,兵庫県尼崎市東難波町5丁目7-9,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28032266/,その他,喫茶店,,,3.2
28029459,尼崎駅（阪神）,216,ごん,立ち飲み居酒屋・バー、串揚げ・串かつ、ビストロ,兵庫県尼崎市神田中通り2-18,,1000,1999,1000,1999,"1,500",2011/3/28,2011/3/28,11,8,https://tabelog.com/hyogo/A2803/A280304/28029459/,居酒屋・バル,立ち飲み居酒屋・バー,串揚げ・串かつ,ビストロ,3.44
28005190,尼崎駅（阪神）,229,天竹,割烹・小料理、天ぷら、魚介料理・海鮮料理,兵庫県尼崎市神田中通2-28,45,1000,1999,6000,7999,"7,000",,,,,https://tabelog.com/hyogo/A2803/A280304/28005190/,和食,割烹・小料理,天ぷら,魚介料理・海鮮料理,3.56
28036249,尼崎駅（阪神）,102,リトルマーメイド 阪神尼崎駅店,パン、カフェ、サンドイッチ,兵庫県尼崎市神田中通1-2-1 AMASTA AMASEN 1F,26,-,999,-,999,999,2012/11/30,2012/11/30,10,0,https://tabelog.com/hyogo/A2803/A280304/28036249/,テイクアウト,パン,カフェ,サンドイッチ,3.05
28003971,尼崎駅（阪神）,421,うなぎの双葉,うなぎ、魚介料理・海鮮料理、懐石・会席料理,兵庫県尼崎市神田北通り3-39,27,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28003971/,和食,うなぎ,魚介料理・海鮮料理,懐石・会席料理,3.42
28031920,尼崎駅（阪神）,343,さつまや,お好み焼き、鉄板焼き、ちゃんこ鍋,兵庫県尼崎市神田北通2-18,55,-,999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28031920/,居酒屋・バル,お好み焼き,鉄板焼き,ちゃんこ鍋,3.1
28053447,尼崎駅（阪神）,665,上海花園,上海料理、飲茶・点心,兵庫県尼崎市神田北通4-164-3 1F,,-,999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28053447/,多国籍料理,上海料理,,,3.35
28027431,尼崎駅（阪神）,722,楽一,ステーキ、カレーライス、洋食,兵庫県尼崎市東難波町5-7-24,12,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28027431/,洋食,ステーキ,カレーライス,洋食,3.15
28059438,尼崎駅（阪神）,243,ラーメン大戦争 尼崎店,ラーメン,兵庫県尼崎市昭和南通4-68-3,28,-,999,1000,1999,"1,500",2021/2/5,2021/2/5,1,9,https://tabelog.com/hyogo/A2803/A280304/28059438/,ラーメン,ラーメン,,,3.21
28037865,尼崎駅（阪神）,364,得一 尼崎店,立ち飲み居酒屋・バー、魚介料理・海鮮料理、天ぷら・揚げ物（その他）,兵庫県尼崎市神田中通3-54,,1000,1999,1000,1999,"1,500",2013/5/25,2013/5/25,9,6,https://tabelog.com/hyogo/A2803/A280304/28037865/,居酒屋・バル,立ち飲み居酒屋・バー,魚介料理・海鮮料理,天ぷら・揚げ物（その他）,3.43
28009977,尼崎駅（阪神）,434,大貫 支店,ラーメン、中華料理,兵庫県尼崎市神田北通3-37,,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28009977/,ラーメン,ラーメン,,,3.39
28009462,尼崎駅（阪神）,15,阪神そば,そば、うどん、おにぎり,兵庫県尼崎市東御園町93 阪神尼崎駅改札内,12,-,999,-,999,999,1966/12/1,1966/12/1,55,11,https://tabelog.com/hyogo/A2803/A280304/28009462/,和食,そば,うどん,おにぎり,3.48
28029642,尼崎駅（阪神）,323,天下一品 阪神尼崎店,ラーメン,兵庫県尼崎市神田中通3-29,27,-,999,1000,1999,"1,500",2011/4/28,2011/4/28,11,7,https://tabelog.com/hyogo/A2803/A280304/28029642/,ラーメン,ラーメン,,,3.06
28029458,尼崎駅（阪神）,261,酒の吉田屋,居酒屋、立ち飲み居酒屋・バー,兵庫県尼崎市御園町30,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28029458/,居酒屋・バル,居酒屋,,,3.32
28003441,尼崎駅（阪神）,573,天遊,中華料理、ラーメン、ちゃんぽん,兵庫県尼崎市東難波町5-8-19,24,-,999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28003441/,居酒屋・バル,中華料理,ラーメン,ちゃんぽん,3.49
28002691,尼崎駅（阪神）,206,あさひ 尼崎本店,串揚げ・串かつ,兵庫県尼崎市神田中通2-28,34,-,999,2000,2999,"2,500",1950/1/1,1950/1/1,72,10,https://tabelog.com/hyogo/A2803/A280304/28002691/,居酒屋・バル,串揚げ・串かつ,,,3.48
28001201,尼崎駅（阪神）,434,味楽園 尼崎本店,焼肉,兵庫県尼崎市昭和南通4-43-1,,-,-,15000,19999,"17,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28001201/,焼肉・ホルモン,焼肉,,,3.57
28058856,尼崎駅（阪神）,572,らぁ麺 めん恋,ラーメン,兵庫県尼崎市東難波町5-8-12,6,-,999,1000,1999,"1,500",2020/11/4,2020/11/4,2,0,https://tabelog.com/hyogo/A2803/A280304/28058856/,ラーメン,ラーメン,,,3.39
28028718,尼崎駅（阪神）,719,チャミのカレー,カレーライス、カレー（その他）、カレーうどん,兵庫県尼崎市神田中通5丁目182-3 中央商店街5番街,15,-,999,-,999,999,2010/1/1,2010/1/1,12,10,https://tabelog.com/hyogo/A2803/A280304/28028718/,多国籍料理,カレーライス,カレー（その他）,カレーうどん,3.24
28045886,尼崎駅（阪神）,778,麺家 德,ラーメン、台湾まぜそば,兵庫県尼崎市東難波町5-3-17,12,1000,1999,1000,1999,"1,500",2016年,2016/1/1,6,10,https://tabelog.com/hyogo/A2803/A280304/28045886/,ラーメン,ラーメン,,,3.43
28049645,尼崎駅（阪神）,338,博多串焼き卸 ウマカーよかばい 尼崎店,居酒屋、焼鳥,兵庫県尼崎市神田中通3-56,40,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28049645/,居酒屋・バル,居酒屋,,,3.25
28022827,尼崎駅（阪神）,431,たこ焼 岡,たこ焼き,兵庫県尼崎市東桜木町16,5,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28022827/,テイクアウト,たこ焼き,,,3.38
28041586,尼崎駅（阪神）,366,尼寿司,寿司、日本酒バー,兵庫県尼崎市神田北通3-27,20,1000,1999,3000,3999,"3,500",2013/9/1,2013/9/1,9,2,https://tabelog.com/hyogo/A2803/A280304/28041586/,和食,寿司,,,3.35
28002521,尼崎駅（阪神）,744,鹿児島屋,ホルモン,兵庫県尼崎市玄番北之町21,16,-,999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28002521/,焼肉・ホルモン,ホルモン,,,3.42
28027708,尼崎駅（阪神）,434,喫茶ジャワ,喫茶店、カレーライス,兵庫県尼崎市神田北通3丁目37,,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28027708/,その他,喫茶店,,,3.39
28048227,尼崎駅（阪神）,313,都そば 第二尼崎店,立ち食いそば、うどん、おにぎり,兵庫県尼崎市神田中通3-30,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28048227/,和食,立ち食いそば,うどん,おにぎり,3.22
28033765,尼崎駅（阪神）,690,どさん子大将 尼崎店,ラーメン,兵庫県尼崎市神田中通5-203,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28033765/,ラーメン,ラーメン,,,3.02
28058879,尼崎駅（阪神）,450,花梨麻婆麺 尼崎店,中華麺（その他）、中華料理、餃子,兵庫県尼崎市神田北通3-37-2,,-,999,-,999,999,2020/11/9,2020/11/9,2,0,https://tabelog.com/hyogo/A2803/A280304/28058879/,居酒屋・バル,中華麺（その他）,中華料理,餃子,3.42
28061901,尼崎駅（阪神）,191,魚介味噌白湯 ぎょっこ志,ラーメン,兵庫県尼崎市神田中通2-17 尼崎中央一番街,8,-,999,-,999,999,2021/11/1,2021/11/1,1,0,https://tabelog.com/hyogo/A2803/A280304/28061901/,ラーメン,ラーメン,,,3.53
28032958,尼崎駅（阪神）,670,ざぶとん,居酒屋,兵庫県尼崎市神田北通4-104,,3000,3999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28032958/,居酒屋・バル,居酒屋,,,3.35
28009730,尼崎駅（阪神）,178,さかなや道場 阪神尼崎店,居酒屋,兵庫県尼崎市神田北通1-8-1 キャピトル尼崎駅前ビル 2F,85,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28009730/,居酒屋・バル,居酒屋,,,3.03
28027625,尼崎駅（阪神）,183,松屋 尼崎店,牛丼、カレーライス、定食・食堂,兵庫県尼崎市神田中通2-17,26,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280304/28027625/,その他,牛丼,カレーライス,定食・食堂,3.06
28038020,尼崎駅（阪神）,563,焼鳥 なごみ屋,焼鳥、鳥料理、定食・食堂,兵庫県尼崎市神田中通4-105-1,,-,999,-,-,,2013/6/15,2013/6/15,9,5,https://tabelog.com/hyogo/A2803/A280304/28038020/,居酒屋・バル,焼鳥,鳥料理,定食・食堂,3.21
28025502,尼崎駅（阪神）,418,海鮮屋 みなと,魚介料理・海鮮料理、居酒屋、寿司,兵庫県尼崎市神田北通3-37-6,80,-,-,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28025502/,和食,魚介料理・海鮮料理,居酒屋,寿司,3.26
28013017,尼崎駅（阪神）,691,リュリュ 阪神尼崎店,イタリアン、洋食・欧風料理（その他）,兵庫県尼崎市神田中通5-181,,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28013017/,洋食,イタリアン,,,3.06
28032405,尼崎駅（阪神）,272,珈琲パパー,喫茶店,兵庫県尼崎市神田中通2-24,48,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28032405/,その他,喫茶店,,,3.22
28037460,尼崎駅（阪神）,74,どうとんぼり神座 AMASTAAMASEN店,ラーメン,兵庫県尼崎市神田中通1-2-1 AMASTAAMASEN 1F,41,-,999,-,999,999,2013/4/18,2013/4/18,9,7,https://tabelog.com/hyogo/A2803/A280304/28037460/,ラーメン,ラーメン,,,3.08
28054815,尼崎駅（阪神）,338,鳥良商店 尼崎中央商店街店,居酒屋、手羽先、鳥料理,兵庫県尼崎市神田中通3-30 神田ビル 1F,78,-,999,2000,2999,"2,500",2019/5/30,2019/5/30,3,6,https://tabelog.com/hyogo/A2803/A280304/28054815/,居酒屋・バル,居酒屋,手羽先,鳥料理,3.01
28027800,尼崎駅（阪神）,786,本格中華料理　吉祥楼 尼崎店,中華料理、居酒屋、餃子,兵庫県尼崎市昭和南通り6-150-1 ニューアメリカプラザ3号館1F,90,-,999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28027800/,居酒屋・バル,中華料理,居酒屋,餃子,3.17
28003754,尼崎駅（阪神）,670,もんじゃ焼き 美々也,もんじゃ焼き、お好み焼き,兵庫県尼崎市神田北通4-104,,2000,2999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28003754/,居酒屋・バル,もんじゃ焼き,,,3.2
28002658,尼崎駅（阪神）,233,ぼて 北店,ふぐ、寿司、割烹・小料理,兵庫県尼崎市神田北通2-22,150,-,999,6000,7999,"7,000",,,,,https://tabelog.com/hyogo/A2803/A280304/28002658/,和食,ふぐ,寿司,割烹・小料理,3.29
28034382,尼崎駅（阪神）,734,丸亀製麺 尼崎大物店,うどん,兵庫県尼崎市昭和通1-10-1,86,-,999,-,999,999,2012/5/8,2012/5/8,10,6,https://tabelog.com/hyogo/A2803/A280304/28034382/,和食,うどん,,,3.07
28027899,尼崎駅（阪神）,365,寧楽,割烹・小料理,兵庫県尼崎市昭和南通4‐34,28,-,-,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28027899/,和食,割烹・小料理,,,3.17
28001207,尼崎駅（阪神）,435,アゼリア,バイキング、レストラン（その他）、フレンチ,兵庫県尼崎市昭和通2-7-1 都ホテル尼崎 1F,60,3000,3999,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28001207/,居酒屋・バル,バイキング,レストラン（その他）,フレンチ,3.23
28008161,尼崎駅（阪神）,290,Japanese Dining ゑびすダイニング,居酒屋、魚介料理・海鮮料理、ステーキ,兵庫県尼崎市神田中通3-65,40,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28008161/,居酒屋・バル,居酒屋,魚介料理・海鮮料理,ステーキ,3.3
28035226,尼崎駅（阪神）,387,カフェ・ベローチェ 尼崎神田中通店,カフェ、ケーキ、サンドイッチ,兵庫県神田中通3-31-2 安岡ビル 1F～2F,,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280304/28035226/,その他,カフェ,ケーキ,サンドイッチ,3.05
28053613,尼崎駅（阪神）,218,麺屋 神楽,ラーメン、うどん、つけ麺,兵庫県尼崎市神田北通2-22-4 1F,14,-,999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28053613/,ラーメン,ラーメン,うどん,つけ麺,3.09
28050308,尼崎駅（阪神）,152,サイゼリヤ 阪神尼崎駅北口店,ファミレス、イタリアン、パスタ,兵庫県尼崎市神田北通1-3,,-,999,-,-,,2017/11/16,2017/11/16,5,0,https://tabelog.com/hyogo/A2803/A280304/28050308/,その他,ファミレス,イタリアン,パスタ,3.03
28008162,尼崎駅（阪神）,438,割烹てんぷら 天露,天ぷら、割烹・小料理,兵庫県尼崎市神田中通3-79 パレセイキ1F,21,-,-,6000,7999,"7,000",,,,,https://tabelog.com/hyogo/A2803/A280304/28008162/,和食,天ぷら,,,3.38
28030263,尼崎駅（阪神）,286,がんこ 尼崎店,居酒屋、寿司、魚介料理・海鮮料理,兵庫県尼崎市神田北通2-20,239,-,999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28030263/,居酒屋・バル,居酒屋,寿司,魚介料理・海鮮料理,3.05
28025395,尼崎駅（阪神）,571,鶏三,焼鳥,兵庫県尼崎市東難波町5-15-27,24,-,-,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28025395/,居酒屋・バル,焼鳥,,,3.21
28030275,尼崎駅（阪神）,197,CoCo壱番屋 阪神尼崎駅前店,カレーライス,兵庫県尼崎市神田北通一丁目7番1号 甲南ｱｾｯﾄ阪神尼崎駅前ビル 1F,43,1000,1999,1000,1999,"1,500",2011/5/31,2011/5/31,11,5,https://tabelog.com/hyogo/A2803/A280304/28030275/,多国籍料理,カレーライス,,,3.05
28053237,尼崎駅（阪神）,433,どきどき水産 阪神尼崎店,居酒屋、かに、魚介料理・海鮮料理,兵庫県尼崎市東難波町5-17-3 阪国ビル,98,1000,1999,4000,4999,"4,500",2018/11/23,2018/11/23,4,0,https://tabelog.com/hyogo/A2803/A280304/28053237/,居酒屋・バル,居酒屋,かに,魚介料理・海鮮料理,3
28002524,尼崎駅（阪神）,182,鳥光 尼崎店,焼鳥、懐石・会席料理、水炊き,兵庫県尼崎市昭和南通3-22,120,1000,1999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28002524/,居酒屋・バル,焼鳥,懐石・会席料理,水炊き,3.47
28033498,尼崎駅（阪神）,680,ロリアンクレープ,クレープ,兵庫県尼崎市神田中通5-181,,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280304/28033498/,テイクアウト,クレープ,,,3.26
28023801,尼崎駅（阪神）,283,但馬地鶏　炭のあかり 尼崎,居酒屋、焼鳥、鳥料理,兵庫県尼崎市昭和南通4-67 オスロビル　１Ｆ,40,-,-,3000,3999,"3,500",2009/3/18,2009/3/18,13,8,https://tabelog.com/hyogo/A2803/A280304/28023801/,居酒屋・バル,居酒屋,焼鳥,鳥料理,3.23
28024026,尼崎駅（阪神）,319,にちりん茶房,カフェ,兵庫県尼崎市神田中通3-57,,-,999,-,-,,1948年,1948/1/1,74,10,https://tabelog.com/hyogo/A2803/A280304/28024026/,その他,カフェ,,,3.18
28027917,尼崎駅（阪神）,316,名代 駒寿司,寿司、魚介料理・海鮮料理、和食（その他）,兵庫県尼崎市神田中通3-29,10,-,-,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280304/28027917/,和食,寿司,魚介料理・海鮮料理,和食（その他）,3.32
