Tid,起点,駅からの距離,店舗名,ジャンル,住所,座数,lunch_from,lunch_to,dinner_from,dinner_to,dinner_ave,元値,集計用,営業(年),営業(月),url,業態_集計用,食べログ業種_大,食べログ業種_中,食べログ業種_小,評価
28046016,西宮北口駅,384,おぼんdeごはん 西宮ガーデンズ店,定食・食堂、カフェ、和食（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,100,"1,000",1999,1000,1999,"1,500",2016年4月15日,2016年4月15日,6,7,https://tabelog.com/hyogo/A2803/A280301/28046016/,和食,定食・食堂,カフェ,和食（その他）,3.06
28021020,西宮北口駅,191,北海ラーメンすすき野 アクタ西宮店,ラーメン、つけ麺,兵庫県西宮市北口町1 アクタ西宮西館　1F,35,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28021020/,ラーメン,ラーメン,,,3.05
28009406,西宮北口駅,392,トゥ・ザ・ハーブズ 西宮ガーデンズ店,イタリアン、パスタ、ピザ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,59,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28009406/,洋食,イタリアン,パスタ,ピザ,3.06
28009302,西宮北口駅,331,アフタヌーンティー・ティールーム 阪急西宮ガーデンズ店,カフェ、紅茶専門店,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 2F,0,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28009302/,その他,カフェ,,,3.08
28032975,西宮北口駅,253,地魚屋台　とっつぁん 西宮北口店,魚介料理・海鮮料理、居酒屋、天ぷら,兵庫県西宮市南昭和町10-10,35,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28032975/,和食,魚介料理・海鮮料理,居酒屋,天ぷら,3.07
28009369,西宮北口駅,321,牛兵衛 草庵 阪急西宮ガーデンズ店,焼肉、ホルモン、ステーキ,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ,76,"1,000",1999,4000,4999,"4,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28009369/,焼肉・ホルモン,焼肉,ホルモン,ステーキ,3.34
28016100,西宮北口駅,495,カポ,お好み焼き,兵庫県西宮市田代町7-3,20,"1,000",1999,1000,1999,"1,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28016100/,居酒屋・バル,お好み焼き,,,3.52
28027792,西宮北口駅,164,魚の巣 阪急西宮北口アクタ店,魚介料理・海鮮料理、海鮮丼,兵庫県西宮市北口町1番 アクタ西宮　西館１F,62,"1,000",1999,2000,2999,"2,500",2010年11月11日,2010年11月11日,12,0,https://tabelog.com/hyogo/A2803/A280301/28027792/,和食,魚介料理・海鮮料理,,,3.26
28009344,西宮北口駅,346,名代とんかつ かつくら 阪急西宮ガーデンズ店,とんかつ、京料理、和食（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 4F,42,"1,000",1999,2000,2999,"2,500",2008年11月,2008年11月,14,0,https://tabelog.com/hyogo/A2803/A280301/28009344/,和食,とんかつ,京料理,和食（その他）,3.14
28026650,西宮北口駅,410,銀のあん 阪急西宮ガーデンズ店,たい焼き・大判焼き,兵庫県西宮市高松町14-2,0,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28026650/,テイクアウト,たい焼き・大判焼き,,,3.12
28054160,西宮北口駅,428,BAKE CHEESE TART 阪急西宮ガーデンズ店,洋菓子（その他）、スイーツ（その他）,兵庫県西宮市高松町14-2 阪急西宮ガーデンズ 1F,,-,999,-,999,999,2019年3月8日,2019年3月8日,3,8,https://tabelog.com/hyogo/A2803/A280301/28054160/,テイクアウト,洋菓子（その他）,,,3.05
28045706,西宮北口駅,161,キッチン ユイカ,カフェ、洋食,兵庫県西宮市北口町1-1-131 アクタ西宮西館 1F,15,"1,000",1999,1000,1999,"1,500",2016年2月18日,2016年2月18日,6,9,https://tabelog.com/hyogo/A2803/A280301/28045706/,その他,カフェ,,,3.3
28036698,西宮北口駅,216,カーヴ・ド・テール 西宮北口店,ダイニングバー、ワインバー,兵庫県西宮市南昭和町10-19 公同教会総合ビル 1F,10,-,-,1000,1999,"1,500",2013年12月,2013年12月,8,11,https://tabelog.com/hyogo/A2803/A280301/28036698/,居酒屋・バル,ダイニングバー,,,3.09
28006961,西宮北口駅,757,五右衛門 西宮店,パスタ,兵庫県西宮市大屋町29-17,0,1000,1999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28006961/,洋食,パスタ,,,3.06
28061996,西宮北口駅,127,星知ラズ 西宮北口店,ラーメン,兵庫県西宮市高松町10-3 美津馬ビル 1F,20,-,999,-,-,,2021年11月23日,2021年11月23日,1,0,https://tabelog.com/hyogo/A2803/A280301/28061996/,ラーメン,ラーメン,,,3.18
28002773,西宮北口駅,145,ゆらり屋 じん,串揚げ・串かつ,兵庫県西宮市甲風園1-4-16 カームプラザ北口Ｂ０．　５,20,"6,000",7999,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28002773/,居酒屋・バル,串揚げ・串かつ,,,3.62
28003280,西宮北口駅,253,KO-KI,居酒屋、居酒屋・ダイニングバー（その他）,兵庫県西宮市南昭和町10-10 カサマドンナビルⅢ 3F,40,-,-,3000,3999,"3,500",1998年8月26日,1998年8月26日,24,3,https://tabelog.com/hyogo/A2803/A280301/28003280/,居酒屋・バル,居酒屋,,,3.09
28019896,西宮北口駅,297,酒彩 庵寿,割烹・小料理、居酒屋、魚介料理・海鮮料理,兵庫県西宮市南昭和町9-9,30,-,-,3000,3999,"3,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28019896/,和食,割烹・小料理,居酒屋,魚介料理・海鮮料理,3.32
28048903,西宮北口駅,198,チーズバー ニシキタチーズ,ダイニングバー、洋食・欧風料理（その他）、ピザ,兵庫県西宮市甲風園1-7-1 カサマドンナビル 2F,24,-,-,3000,3999,"3,500",2017年3月6日,2017年3月6日,5,8,https://tabelog.com/hyogo/A2803/A280301/28048903/,居酒屋・バル,ダイニングバー,洋食・欧風料理（その他）,ピザ,3.06
28054550,西宮北口駅,328,スターバックスコーヒー 阪急西宮ガーデンズ店,カフェ,兵庫県西宮市高松町14-2,0,-,999,-,-,,2019年4月26日,2019年4月26日,3,7,https://tabelog.com/hyogo/A2803/A280301/28054550/,その他,カフェ,,,3.03
28018320,西宮北口駅,125,じゅえり,居酒屋,兵庫県西宮市北口町1-1 アクタ西宮西館,32,"1,000",1999,2000,2999,"2,500",,,,,https://tabelog.com/hyogo/A2803/A280301/28018320/,居酒屋・バル,居酒屋,,,3.23
28023562,西宮北口駅,113,マクドナルド 西宮アクタ店,ハンバーガー,兵庫県西宮市北口町1-1-215 アクタ西宮西館2階,110,-,999,-,999,999,,,,,https://tabelog.com/hyogo/A2803/A280301/28023562/,洋食,ハンバーガー,,,3.04
28009547,西宮北口駅,385,DONQ 西宮阪急店,パン、サンドイッチ、カフェ,兵庫県西宮市高松町14-1 西宮阪急 1F,35,-,999,-,-,,,,,,https://tabelog.com/hyogo/A2803/A280301/28009547/,テイクアウト,パン,サンドイッチ,カフェ,3.1
28036250,西宮北口駅,292,トラットリア ダ ゴイーノ,イタリアン、パスタ,兵庫県西宮市甲風園1-12-12,24,2000,2999,6000,7999,"7,000",2012年11月5日,2012年11月5日,10,0,https://tabelog.com/hyogo/A2803/A280301/28036250/,洋食,イタリアン,,,3.54
28049030,西宮北口駅,271,THEATRE Le Bois,洋食、カフェ、フレンチ,兵庫県西宮市高松町2-22 兵庫県立芸術文化センター,60,"3,000",3999,3000,3999,"3,500",2017年5月18日,2017年5月18日,5,6,https://tabelog.com/hyogo/A2803/A280301/28049030/,洋食,洋食,カフェ,フレンチ,3.27
